p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,diffexpressed
1.68E-83,-0.067008752825451,0.017,0.047,5.99E-79,REP15,ECM
1.76E-83,0.100496603253742,0.068,0.031,6.26E-79,RIPOR3,MBM
1.80E-83,-0.19294248802011,0.321,0.395,6.40E-79,PDCD7,ECM
1.80E-83,0.174455006743864,0.288,0.23,6.42E-79,POLG2,MBM
1.83E-83,-0.047354111479897,0.01,0.035,6.54E-79,AL355512.1,ECM
1.94E-83,0.210506574546376,0.308,0.26,6.92E-79,CCDC7,MBM
2.07E-83,0.191141350586818,0.368,0.313,7.39E-79,AP2A2,MBM
2.16E-83,0.188036306815126,0.504,0.455,7.70E-79,CLASRP,MBM
2.44E-83,-0.030320842242487,0,0.011,8.69E-79,AC118758.3,ECM
2.47E-83,0.109608764686973,0.099,0.055,8.81E-79,C5orf63,MBM
2.52E-83,-0.037291993790274,0.244,0.306,8.99E-79,PRSS23,ECM
2.76E-83,-0.129242552873698,0.102,0.159,9.83E-79,ECM1,ECM
2.79E-83,-0.175348373428833,0.594,0.636,9.93E-79,IQGAP1,ECM
2.91E-83,-0.091722164691876,0.039,0.079,1.04E-78,FAM71F2,ECM
2.97E-83,0.063453689295048,0.058,0.025,1.06E-78,AP001505.1,MBM
3.09E-83,-0.05574294276625,0.009,0.033,1.10E-78,AC093810.1,ECM
3.11E-83,0.164969978267418,0.167,0.204,1.11E-78,RPL18A,MBM
3.18E-83,-0.048529794368675,0.002,0.017,1.13E-78,PDGFRA,ECM
3.77E-83,0.184935341849951,0.409,0.353,1.35E-78,UBE2L3,MBM
5.22E-83,-0.16319488479272,0.15,0.214,1.86E-78,PSEN2,ECM
5.29E-83,0.170191717754093,0.276,0.214,1.89E-78,HDAC7,MBM
5.40E-83,0.205847134917581,0.679,0.631,1.92E-78,KDM2A,MBM
5.47E-83,-0.023712756768806,0,0.011,1.95E-78,AC097652.1,ECM
5.74E-83,-0.12255576444273,0.075,0.126,2.05E-78,ISM1,ECM
6.20E-83,0.172263036134756,0.322,0.248,2.21E-78,CLIP4,MBM
6.29E-83,0.030958610018171,0.013,0.001,2.24E-78,PCSK9,MBM
7.58E-83,-0.144610625879185,0.055,0.094,2.70E-78,EPHA5-AS1,ECM
7.68E-83,0.227370648335839,0.63,0.55,2.74E-78,PABPC1,MBM
8.59E-83,0.263474479061883,0.353,0.304,3.06E-78,BBS5,MBM
8.88E-83,0.082177102356831,0.053,0.022,3.17E-78,C17orf97,MBM
8.98E-83,-0.11692066661221,0.071,0.121,3.20E-78,AC139100.1,ECM
9.06E-83,-0.183065983207967,0.108,0.162,3.23E-78,LINC01619,ECM
9.75E-83,0.132528930974238,0.094,0.052,3.48E-78,PRKX-AS1,MBM
9.75E-83,-0.301060850850009,0.439,0.488,3.48E-78,IGFBP7,ECM
9.83E-83,-0.040639542484721,0.002,0.016,3.50E-78,LINC02445,ECM
1.06E-82,0.205061897245207,0.315,0.249,3.79E-78,EXD3,MBM
1.10E-82,0.183959599812821,0.238,0.197,3.91E-78,STEAP1B,MBM
1.12E-82,0.321816314987788,0.221,0.16,3.98E-78,GALNT18,MBM
1.13E-82,-0.072223220546495,0.007,0.027,4.03E-78,AL355881.1,ECM
1.17E-82,-0.054728974134099,0.002,0.017,4.18E-78,AC243829.2,ECM
1.19E-82,-0.088154299003133,0.029,0.065,4.25E-78,R3HDML,ECM
1.19E-82,-0.14228442987911,0.058,0.103,4.25E-78,LINC02250,ECM
1.23E-82,-0.152303093476777,0.17,0.238,4.38E-78,ERAP2,ECM
1.43E-82,-0.216718904312552,0.112,0.17,5.11E-78,LY6E,ECM
